ID:钟南山：肯定新型冠状病毒肺炎人传人 病毒很可能来自野味
{'danmu_send_time': '2020-12-12 18:14:41', 'text': '不是累，是压力很大，一直在想其他得事'}
{'danmu_send_time': '2020-12-10 18:00:30', 'text': '国士无双'}
{'danmu_send_time': '2020-12-10 10:27:23', 'text': '蝙蝠'}
{'danmu_send_time': '2020-12-10 10:26:29', 'text': '国师五双'}
{'danmu_send_time': '2020-12-09 22:08:07', 'text': '钟老太累了，大脑已经十分疲惫了'}
{'danmu_send_time': '2020-12-05 09:30:35', 'text': '2020年12月底，6亿支新冠疫苗上市'}
{'danmu_send_time': '2020-12-05 07:16:28', 'text': '国士无双'}
{'danmu_send_time': '2020-12-04 22:03:10', 'text': '国士无双'}
{'danmu_send_time': '2020-12-04 20:38:20', 'text': '已经过去快一年了'}
{'danmu_send_time': '2020-12-03 11:32:31', 'text': '历史性时刻'}
{'danmu_send_time': '2020-12-03 11:32:23', 'text': '历史性时刻'}
{'danmu_send_time': '2020-12-03 11:32:18', 'text': '历史性时'}
{'danmu_send_time': '2020-12-03 11:31:54', 'text': '历史性时刻回来考古'}
{'danmu_send_time': '2020-12-02 10:21:49', 'text': '国士无双'}
{'danmu_send_time': '2020-12-01 15:10:06', 'text': '一槌定音'}
{'danmu_send_time': '2020-12-01 00:49:11', 'text': '国士无双'}
{'danmu_send_time': '2020-11-29 12:04:51', 'text': '南山风骨'}
{'danmu_send_time': '2020-11-29 12:04:31', 'text': '南山风骨'}
{'danmu_send_time': '2020-11-29 00:09:43', 'text': '钟老辛苦了！'}
{'danmu_send_time': '2020-11-28 23:13:18', 'text': '国士无双'}
{'danmu_send_time': '2020-11-28 13:27:29', 'text': '·-'}
{'danmu_send_time': '2020-11-28 00:25:07', 'text': '国士无双'}
{'danmu_send_time': '2020-11-26 21:22:39', 'text': '国士无双'}
{'danmu_send_time': '2020-11-26 18:34:39', 'text': '国士无双'}
{'danmu_send_time': '2020-11-26 09:32:48', 'text': '院士太累了'}
{'danmu_send_time': '2020-11-26 07:19:00', 'text': '其实老人家是累的反应不过来.'}
{'danmu_send_time': '2020-11-25 23:12:19', 'text': '国士无双'}
{'danmu_send_time': '2020-11-25 18:56:15', 'text': '国士无双'}
{'danmu_send_time': '2020-11-23 20:16:54', 'text': '此时钟老已经极度疲惫了，老人家84岁了'}
{'danmu_send_time': '2020-11-23 18:30:19', 'text': '拯救了中国的视频'}
{'danmu_send_time': '2020-11-22 00:55:42', 'text': '冰冻肉类带来的'}
{'danmu_send_time': '2020-11-21 20:18:25', 'text': '国士无双'}
{'danmu_send_time': '2020-11-21 20:10:23', 'text': '国士无双'}
{'danmu_send_time': '2020-11-21 17:52:01', 'text': '国士无双'}
{'danmu_send_time': '2020-11-21 00:37:33', 'text': '这里钟院士已经很累了'}
{'danmu_send_time': '2020-11-20 23:05:11', 'text': '钟老师这在古代可是要封神的！'}
{'danmu_send_time': '2020-11-20 21:00:06', 'text': '这句话救了全中国'}
{'danmu_send_time': '2020-11-20 13:25:15', 'text': '国士无双'}
{'danmu_send_time': '2020-11-20 00:13:03', 'text': '现在看可能就是进口海鲜'}
{'danmu_send_time': '2020-11-19 23:21:00', 'text': '国士无双'}
{'danmu_send_time': '2020-11-19 22:52:56', 'text': '致敬'}
{'danmu_send_time': '2020-11-19 21:31:37', 'text': '心疼'}
{'danmu_send_time': '2020-11-19 14:01:31', 'text': '通过后来的发现很可能是海鲜冷链运输从国外带过来的'}
{'danmu_send_time': '2020-11-19 14:00:41', 'text': '回来看，泪目'}
{'danmu_send_time': '2020-11-19 12:22:31', 'text': '国士无双'}
{'danmu_send_time': '2020-11-19 12:15:57', 'text': '真的太累了'}
{'danmu_send_time': '2020-11-19 02:19:43', 'text': '国士无双'}
{'danmu_send_time': '2020-11-19 00:15:30', 'text': '致敬'}
{'danmu_send_time': '2020-11-18 23:50:52', 'text': '还真就是海鲜'}
{'danmu_send_time': '2020-11-18 23:34:59', 'text': '看这精神状态就感觉他已经快累坏了'}
{'danmu_send_time': '2020-11-18 22:56:45', 'text': '国士无双'}
{'danmu_send_time': '2020-11-18 22:56:38', 'text': '国士无双'}
{'danmu_send_time': '2020-11-18 22:56:29', 'text': '国士无双'}
{'danmu_send_time': '2020-11-18 22:53:41', 'text': '漂亮国千万时期考古'}
{'danmu_send_time': '2020-11-18 21:27:50', 'text': '钟老现在已经很累了，太累了'}
{'danmu_send_time': '2020-11-18 20:34:58', 'text': '2020-11-18考古，致敬钟老，国士无双！'}
{'danmu_send_time': '2020-11-18 19:46:30', 'text': '国士无双'}
{'danmu_send_time': '2020-11-18 19:45:54', 'text': '致敬'}
{'danmu_send_time': '2020-11-18 19:28:25', 'text': '国土无双'}
{'danmu_send_time': '2020-11-18 17:58:47', 'text': '再世华佗'}
{'danmu_send_time': '2020-11-18 17:55:46', 'text': '我还以为是网络卡了，原来是钟老累了。。'}
{'danmu_send_time': '2020-11-18 17:53:55', 'text': '廉颇老矣，尚能饭否'}
{'danmu_send_time': '2020-11-18 16:29:37', 'text': '致敬'}
{'danmu_send_time': '2020-11-18 16:29:30', 'text': '致敬'}
{'danmu_send_time': '2020-11-18 13:05:06', 'text': '考古'}
{'danmu_send_time': '2020-11-18 12:33:06', 'text': '国士无双'}
{'danmu_send_time': '2020-11-18 11:00:16', 'text': '白岩松，你给我记住。'}
{'danmu_send_time': '2020-11-18 08:24:40', 'text': '当时我听完钟院士说完肯定人传人我都不知道该怎么办了！一句话重于九鼎'}
{'danmu_send_time': '2020-11-18 00:50:03', 'text': '国士无双'}
{'danmu_send_time': '2020-11-18 00:22:16', 'text': '国士无双'}
{'danmu_send_time': '2020-11-18 00:04:41', 'text': '辛苦了'}
{'danmu_send_time': '2020-11-17 23:21:58', 'text': '国士无双，钟老辛苦了'}
{'danmu_send_time': '2020-11-17 22:56:33', 'text': '国士无双'}
{'danmu_send_time': '2020-11-17 22:33:04', 'text': '国士无双'}
{'danmu_send_time': '2020-11-17 22:30:39', 'text': '是冷链运输'}
{'danmu_send_time': '2020-11-17 22:09:12', 'text': '我现在才知道，院士已经很累了，所以回答的时候迟疑了'}
{'danmu_send_time': '2020-11-17 22:02:32', 'text': '国士无双'}
{'danmu_send_time': '2020-11-17 21:19:29', 'text': '国士无双'}
{'danmu_send_time': '2020-11-17 20:55:34', 'text': '致敬！'}
{'danmu_send_time': '2020-11-17 20:47:57', 'text': '国士无双'}
{'danmu_send_time': '2020-11-17 20:32:08', 'text': '国士无双'}
{'danmu_send_time': '2020-11-17 20:12:05', 'text': '这里钟老累的没有听清问题了'}
{'danmu_send_time': '2020-11-17 19:25:04', 'text': '现在美国一千万'}
{'danmu_send_time': '2020-11-17 19:05:40', 'text': '国士无双'}
{'danmu_send_time': '2020-11-17 19:00:47', 'text': '国士无双'}
{'danmu_send_time': '2020-11-17 18:11:41', 'text': '国士无双'}
{'danmu_send_time': '2020-11-17 16:21:33', 'text': '停顿的这里已经极度疲惫了，泪目，他已经84岁了'}
